<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDRUB,60,20190104,150000,68.3789000,68.4617000,68.3175000,68.3792000,23503
USDRUB,60,20190104,160000,68.3792000,68.3941000,68.1800000,68.3724000,22736
USDRUB,60,20190104,170000,68.3807000,68.3847000,68.0600000,68.1217000,21730
USDRUB,60,20190104,180000,68.1275000,68.1325000,67.8662000,67.9258000,23157
USDRUB,60,20190104,190000,67.9359000,68.0571000,67.8480000,68.0328000,18635
USDRUB,60,20190104,200000,68.0279000,68.2070000,67.8848000,67.9519000,33342
USDRUB,60,20190104,210000,67.9519000,68.1544000,67.9250000,68.0019000,27319
USDRUB,60,20190104,220000,68.0029000,68.1646000,67.6163000,67.6479000,31226
USDRUB,60,20190104,230000,67.6519000,67.8177000,67.4746000,67.5690000,31636
USDRUB,60,20190105,000000,67.5783000,67.6687000,67.5121000,67.5685000,14173
USDRUB,60,20190105,010000,67.5680000,67.5963000,67.4709000,67.5957000,10502
USDRUB,60,20190105,020000,67.5724000,67.7713000,67.5640000,67.7055000,12389
USDRUB,60,20190105,030000,67.7055000,68.1103000,67.4760000,67.5415000,10449
USDRUB,60,20190105,040000,67.5946000,67.6789000,67.2638000,67.4730000,654
USDRUB,60,20190105,050000,67.4354000,67.6669000,67.1700000,67.6421000,22
USDRUB,60,20190105,060000,67.6321000,67.6321000,67.6321000,67.6321000,10
USDRUB,60,20190107,010000,67.9650000,68.1750000,67.9650000,68.1750000,13
USDRUB,60,20190107,020000,68.1750000,68.1750000,68.1750000,68.1750000,12
USDRUB,60,20190107,030000,68.1750000,68.1750000,68.1750000,68.1750000,12
USDRUB,60,20190107,040000,68.1750000,68.1786000,68.0352000,68.0410000,16
USDRUB,60,20190107,050000,68.0456000,68.0671000,67.5660000,68.0573000,64
USDRUB,60,20190107,060000,68.0520000,68.5551000,67.9920000,68.3323000,934
USDRUB,60,20190107,070000,68.3498000,68.3979000,67.7658000,67.7778000,704
USDRUB,60,20190107,080000,67.7953000,68.1266000,67.4039000,67.8285000,961
USDRUB,60,20190107,090000,67.8460000,68.2788000,67.4268000,67.9937000,716
USDRUB,60,20190107,100000,67.7565000,67.9945000,67.4395000,67.5714000,249
USDRUB,60,20190107,110000,67.6445000,68.1463000,67.5280000,67.5901000,624
USDRUB,60,20190107,120000,67.5667000,68.4620000,67.5300000,68.0398000,883
USDRUB,60,20190107,130000,68.0573000,68.2245000,67.5607000,67.7618000,970
USDRUB,60,20190107,140000,67.6805000,67.9601000,67.4327000,67.4327000,2771
USDRUB,60,20190107,150000,67.4365000,67.5323000,66.8554000,67.3671000,3474
USDRUB,60,20190107,160000,67.3957000,67.4239000,67.2017000,67.2990000,4192
USDRUB,60,20190107,170000,67.3072000,67.3413000,67.2048000,67.2644000,4747
USDRUB,60,20190107,180000,67.2785000,67.2856000,67.0463000,67.0690000,6522
USDRUB,60,20190107,190000,67.0823000,67.1004000,66.7724000,66.9678000,6737
USDRUB,60,20190107,200000,66.9831000,66.9831000,66.7512000,66.8125000,7681
USDRUB,60,20190107,210000,66.8050000,66.9950000,66.7500000,66.9189000,10823
USDRUB,60,20190107,220000,66.9221000,66.9380000,66.5875000,66.6500000,13652
USDRUB,60,20190107,230000,66.6590000,66.7104000,66.5890000,66.6373000,9400
USDRUB,60,20190108,000000,66.6373000,66.7151000,66.5627000,66.6000000,6229
USDRUB,60,20190108,010000,66.6000000,66.6650000,66.5770000,66.6588000,5164
USDRUB,60,20190108,020000,66.6528000,66.8704000,66.6349000,66.7852000,5439
USDRUB,60,20190108,030000,66.8179000,66.8179000,66.5700000,66.6696000,3194
USDRUB,60,20190108,040000,66.6886000,66.7205000,66.6369000,66.6486000,301
USDRUB,60,20190108,050000,66.7015000,66.7134000,66.6124000,66.6560000,236
USDRUB,60,20190108,060000,66.6906000,66.7939000,66.6085000,66.7745000,379
USDRUB,60,20190108,070000,66.7867000,66.9566000,66.7610000,66.7797000,123
USDRUB,60,20190108,080000,66.7972000,66.8210000,66.7675000,66.7884000,106
USDRUB,60,20190108,090000,66.8059000,66.8510000,66.7714000,66.7865000,113
USDRUB,60,20190108,100000,66.8040000,66.8468000,66.7722000,66.7794000,187
USDRUB,60,20190108,110000,66.8088000,66.8580000,66.7770000,66.8560000,213
USDRUB,60,20190108,120000,66.8610000,66.8720000,66.8236000,66.8415000,216
USDRUB,60,20190108,130000,66.8577000,66.8900000,66.6371000,66.8077000,1605
USDRUB,60,20190108,140000,66.8200000,67.2990000,66.8110000,67.2120000,33308
USDRUB,60,20190108,150000,67.2188000,67.2477000,66.9617000,67.0275000,32684
USDRUB,60,20190108,160000,67.0292000,67.0811000,66.8897000,67.0592000,34059
USDRUB,60,20190108,170000,67.0592000,67.1688000,66.9414000,67.0446000,25263
USDRUB,60,20190108,180000,67.0446000,67.0588000,66.8409000,66.9450000,21421
USDRUB,60,20190108,190000,66.9388000,67.1413000,66.8781000,67.0463000,19276
USDRUB,60,20190108,200000,67.0589000,67.0944000,66.9063000,66.9878000,29263
USDRUB,60,20190108,210000,66.9965000,67.0243000,66.8050000,66.8780000,30758
USDRUB,60,20190108,220000,66.8676000,67.0402000,66.7940000,66.9645000,31572
USDRUB,60,20190108,230000,66.9645000,66.9838000,66.7350000,66.7912000,26409
USDRUB,60,20190109,000000,66.7372000,66.8199000,66.6825000,66.7414000,12779
USDRUB,60,20190109,010000,66.7551000,66.8375000,66.7238000,66.7837000,9697
USDRUB,60,20190109,020000,66.7952000,66.8502000,66.7550000,66.8340000,7375
USDRUB,60,20190109,030000,66.8477000,66.9662000,66.8324000,66.9198000,5116
USDRUB,60,20190109,040000,66.9390000,66.9848000,66.8281000,66.8884000,1214
USDRUB,60,20190109,050000,66.8800000,66.9900000,66.8212000,66.8603000,473
USDRUB,60,20190109,060000,66.8778000,67.2042000,66.8245000,66.9770000,235
USDRUB,60,20190109,070000,66.9439000,67.1440000,66.8700000,67.0678000,695
USDRUB,60,20190109,080000,67.0843000,67.4089000,66.9120000,66.9900000,964
USDRUB,60,20190109,090000,66.9853000,67.2934000,66.9420000,67.2485000,360
USDRUB,60,20190109,100000,67.0448000,67.2485000,66.8282000,67.0027000,1062
USDRUB,60,20190109,110000,67.0410000,67.0410000,66.8488000,66.9056000,753
USDRUB,60,20190109,120000,66.9089000,66.9185000,66.7079000,66.7530000,1058
USDRUB,60,20190109,130000,66.8080000,66.9820000,66.7422000,66.8992000,2342
USDRUB,60,20190109,140000,66.9040000,67.2313000,66.7785000,66.9938000,44029
USDRUB,60,20190109,150000,66.9930000,67.1388000,66.9163000,67.0105000,45771
USDRUB,60,20190109,160000,67.0105000,67.0895000,66.8351000,66.9895000,51375
USDRUB,60,20190109,170000,66.9918000,67.0691000,66.8918000,67.0015000,43824
USDRUB,60,20190109,180000,66.9538000,67.0738000,66.9349000,67.0045000,38541
USDRUB,60,20190109,190000,67.0086000,67.1277000,66.9475000,67.1109000,37408
USDRUB,60,20190109,200000,67.1095000,67.1621000,66.9233000,67.0051000,44900
USDRUB,60,20190109,210000,67.0049000,67.0969000,66.7494000,66.8500000,49207
USDRUB,60,20190109,220000,66.8500000,67.0177000,66.6124000,66.9215000,44847
USDRUB,60,20190109,230000,66.9314000,66.9366000,66.6340000,66.6883000,32165
USDRUB,60,20190110,000000,66.6883000,66.7871000,66.6575000,66.7318000,12065
USDRUB,60,20190110,010000,66.7345000,66.7652000,66.6553000,66.7088000,9070
USDRUB,60,20190110,020000,66.7142000,66.7763000,66.6375000,66.7190000,14772
USDRUB,60,20190110,030000,66.7252000,66.7746000,66.6524000,66.7473000,9023
USDRUB,60,20190110,040000,66.7546000,66.7571000,66.5872000,66.6360000,852
USDRUB,60,20190110,050000,66.6525000,66.7050000,66.6131000,66.6586000,471
USDRUB,60,20190110,060000,66.6761000,66.7310000,66.3345000,66.6470000,342
USDRUB,60,20190110,070000,66.6725000,66.7250000,66.6427000,66.6861000,437
USDRUB,60,20190110,080000,66.6977000,67.0105000,66.6229000,67.0105000,885
USDRUB,60,20190110,090000,66.8494000,67.1034000,66.6754000,66.7873000,488
USDRUB,60,20190110,100000,66.8019000,66.8350000,66.6965000,66.8315000,136
USDRUB,60,20190110,110000,66.8291000,66.8799000,66.6897000,66.7512000,616
USDRUB,60,20190110,120000,66.7459000,66.8137000,66.5720000,66.5980000,1097
USDRUB,60,20190110,130000,66.6347000,66.7446000,66.5955000,66.7360000,1730
USDRUB,60,20190110,140000,66.7020000,66.9407000,66.6398000,66.8987000,42158
USDRUB,60,20190110,150000,66.8937000,67.0097000,66.7921000,67.0058000,49220
USDRUB,60,20190110,160000,67.0052000,67.1109000,66.9075000,66.9887000,50345
USDRUB,60,20190110,170000,67.0368000,67.0542000,66.8822000,67.0298000,45666
USDRUB,60,20190110,180000,67.0298000,67.1471000,66.9747000,67.0392000,39973
USDRUB,60,20190110,190000,67.0407000,67.0801000,66.9362000,67.0155000,37018
USDRUB,60,20190110,200000,67.0339000,67.1308000,66.8658000,67.0731000,38639
USDRUB,60,20190110,210000,67.1203000,67.3330000,67.0278000,67.2701000,52095
USDRUB,60,20190110,220000,67.2701000,67.3266000,66.9637000,67.0028000,41588
USDRUB,60,20190110,230000,66.9715000,67.0389000,66.8660000,66.9796000,36003
USDRUB,60,20190111,000000,66.9796000,67.0702000,66.9298000,67.0046000,13154
USDRUB,60,20190111,010000,67.0046000,67.1016000,66.9350000,66.9907000,13548
USDRUB,60,20190111,020000,66.9947000,67.0083000,66.8400000,66.9043000,14984
USDRUB,60,20190111,030000,66.9043000,66.9237000,66.8325000,66.8545000,8159
USDRUB,60,20190111,040000,66.8543000,66.8852000,66.7599000,66.7599000,1401
USDRUB,60,20190111,050000,66.8060000,66.9730000,66.7886000,66.8479000,549
USDRUB,60,20190111,060000,66.8654000,67.1751000,66.8263000,66.8966000,575
USDRUB,60,20190111,070000,66.8963000,66.9995000,66.8206000,66.9185000,549
USDRUB,60,20190111,080000,66.9049000,67.0829000,66.8373000,67.0019000,940
USDRUB,60,20190111,090000,67.0369000,67.0660000,66.8728000,66.8985000,1513
USDRUB,60,20190111,100000,66.9365000,66.9977000,66.8935000,66.9465000,1139
USDRUB,60,20190111,110000,66.9655000,66.9685000,66.8796000,66.8796000,700
USDRUB,60,20190111,120000,66.8975000,66.9261000,66.8430000,66.8754000,702
USDRUB,60,20190111,130000,66.9145000,66.9644000,66.8430000,66.9099000,1396
USDRUB,60,20190111,140000,66.9099000,67.0080000,66.8175000,66.9275000,35566
USDRUB,60,20190111,150000,66.9275000,66.9418000,66.7498000,66.7809000,51558
USDRUB,60,20190111,160000,66.8297000,66.9716000,66.7397000,66.9716000,37377
USDRUB,60,20190111,170000,66.9663000,66.9805000,66.7882000,66.8759000,39876
USDRUB,60,20190111,180000,66.8756000,66.9827000,66.8251000,66.9649000,29738
USDRUB,60,20190111,190000,66.9653000,67.0478000,66.8569000,67.0478000,27322
USDRUB,60,20190111,200000,67.0478000,67.1396000,66.9800000,67.0389000,43130
USDRUB,60,20190111,210000,67.0389000,67.1517000,66.9818000,67.0850000,46868
USDRUB,60,20190111,220000,67.0850000,67.1125000,66.8874000,66.9475000,35506
USDRUB,60,20190111,230000,66.9477000,67.0082000,66.8725000,66.9483000,31338
USDRUB,60,20190112,000000,66.9483000,66.9574000,66.8072000,66.8619000,12125
USDRUB,60,20190112,010000,66.8669000,66.8917000,66.8160000,66.8467000,10780
