<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,60,20190131,16:00:00,217.6400000,217.7800000,216.9500000,217.2000000,3824920
SBER,60,20190131,17:00:00,217.2300000,217.7900000,217.0400000,217.2200000,3416390
SBER,60,20190131,18:00:00,217.2400000,217.4600000,216.5800000,217.3300000,7565330
SBER,60,20190131,19:00:00,217.3300000,217.9000000,216.8800000,217.9000000,9559250
SBER,60,20190201,11:00:00,217.9900000,218.4400000,217.0500000,217.6100000,7684560
SBER,60,20190201,12:00:00,217.6200000,218.7000000,216.1000000,216.4900000,12131980
SBER,60,20190201,13:00:00,216.4000000,217.2500000,216.2800000,217.0400000,3883340
SBER,60,20190201,14:00:00,217.0400000,217.3500000,216.6600000,217.2500000,3209430
SBER,60,20190201,15:00:00,217.3100000,217.4600000,216.3400000,216.5300000,2447100
SBER,60,20190201,16:00:00,216.5300000,216.8400000,215.9300000,216.3100000,4636930
SBER,60,20190201,17:00:00,216.2800000,216.5600000,215.2200000,216.2500000,8342120
SBER,60,20190201,18:00:00,216.1800000,216.4500000,215.0100000,215.3400000,7377180
SBER,60,20190201,19:00:00,215.4300000,216.2900000,215.3500000,216.2900000,5685810
SBER,60,20190204,11:00:00,216.2500000,217.1400000,215.4500000,216.3300000,7269100
SBER,60,20190204,12:00:00,216.3800000,216.7500000,215.0600000,215.5700000,5530220
SBER,60,20190204,13:00:00,215.5700000,216.2000000,215.0700000,215.5700000,5167900
SBER,60,20190204,14:00:00,215.5000000,216.6000000,215.3900000,216.1500000,4492640
SBER,60,20190204,15:00:00,216.1700000,216.6500000,215.8800000,216.2400000,2915340
SBER,60,20190204,16:00:00,216.2100000,216.2800000,215.5800000,215.9900000,3032540
SBER,60,20190204,17:00:00,216.0000000,216.0000000,215.3800000,215.7100000,3012280
SBER,60,20190204,18:00:00,215.7100000,215.9400000,215.1300000,215.9000000,4611500
SBER,60,20190204,19:00:00,215.8900000,215.9000000,215.2600000,215.5000000,4843010
SBER,60,20190205,11:00:00,216.0000000,216.2000000,214.6100000,215.2100000,5657010
SBER,60,20190205,12:00:00,215.2800000,217.3600000,215.2000000,216.8100000,10104670
SBER,60,20190205,13:00:00,216.8100000,218.4000000,216.6600000,217.7800000,10652070
SBER,60,20190205,14:00:00,217.8200000,218.5500000,217.6600000,218.0300000,5656460
SBER,60,20190205,15:00:00,218.0500000,218.1900000,217.6100000,217.6100000,2639810
SBER,60,20190205,16:00:00,217.6100000,218.1000000,217.3300000,217.8300000,2445770
SBER,60,20190205,17:00:00,217.8100000,217.9300000,217.1700000,217.7600000,2656460
SBER,60,20190205,18:00:00,217.7800000,218.3200000,217.4200000,218.1200000,3402940
SBER,60,20190205,19:00:00,218.1200000,218.1200000,217.6000000,217.8500000,3373870
SBER,60,20190206,11:00:00,217.9200000,218.1500000,215.7100000,215.8600000,9607750
SBER,60,20190206,12:00:00,215.9000000,216.8000000,215.7100000,216.2000000,6441980
SBER,60,20190206,13:00:00,216.2000000,216.3600000,215.4100000,215.5700000,5135340
SBER,60,20190206,14:00:00,215.5100000,216.4400000,215.4700000,216.0300000,3010990
SBER,60,20190206,15:00:00,216.0300000,216.7900000,215.8900000,216.3300000,3174060
SBER,60,20190206,16:00:00,216.3500000,217.3400000,216.2200000,217.0000000,3056570
SBER,60,20190206,17:00:00,216.9600000,217.6400000,216.8100000,217.4100000,3621080
SBER,60,20190206,18:00:00,217.3600000,217.9900000,216.9000000,217.3600000,6122430
SBER,60,20190206,19:00:00,217.3200000,217.3200000,216.1800000,216.5900000,5969330
SBER,60,20190207,11:00:00,216.0000000,216.5800000,215.0500000,215.8100000,6791860
SBER,60,20190207,12:00:00,215.7900000,216.6500000,215.7400000,216.3100000,4753120
